date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:46:51	129590/129590	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400.eot?	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:53	74524/74524	---M--	200	added ('OK')	font/woff2	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:53	87520/87520	---M--	200	added ('OK')	font/woff	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400.woff	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400.woff	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:53	129284/129284	---M--	200	added ('OK')	font/ttf	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400.ttf	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400.ttf	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:53	34394/34394	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400.eot	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400.eot	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:54	34394/34394	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400.eot?	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:54	13584/13584	---M--	200	added ('OK')	font/woff2	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:54	16804/16804	---M--	200	added ('OK')	font/woff	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400.woff	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400.woff	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:55	691037/691037	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400.svg	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400.svg	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:55	34096/34096	---M--	200	added ('OK')	font/ttf	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400.ttf	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400.ttf	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:55	144452/144452	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400.svg	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-regular-400.svg	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:56	192122/192122	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900.eot	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900.eot	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:56	192122/192122	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900.eot?	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900d41d.eot	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
06:46:57	75408/75408	---M--	200	added ('OK')	font/woff2	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
